datetime,open,close
2023-01-20 09:10:00,1965,1965
2023-01-20 09:15:00,1965.7,1998.1
2023-01-20 09:20:00,1997.5,1988.2
2023-01-20 09:25:00,1990,1980.05
2023-01-20 09:30:00,1978.2,1980
2023-01-20 09:35:00,1980,1979.95
2023-01-20 09:40:00,1979.95,1986.7
2023-01-20 09:45:00,1987.3,1984
2023-01-20 09:50:00,1982.65,1981.45
2023-01-20 09:55:00,1981.95,1979.55
2023-01-20 10:00:00,1978.8,1980.8
2023-01-20 10:05:00,1979.5,1975.3
2023-01-20 10:10:00,1975,1977
2023-01-20 10:15:00,1977,1975
2023-01-20 10:20:00,1975,1968.6
2023-01-20 10:25:00,1968.55,1967.9
2023-01-20 10:30:00,1966.5,1963.05
2023-01-20 10:35:00,1963,1963.35
2023-01-20 10:40:00,1963.4,1965
2023-01-20 10:45:00,1964.35,1972.2
2023-01-20 10:50:00,1972.25,1967.9
2023-01-20 10:55:00,1967.9,1964.5
2023-01-20 11:00:00,1964,1962.95
2023-01-20 11:05:00,1962.5,1964.1
2023-01-20 11:10:00,1964.5,1966.6
2023-01-20 11:15:00,1965.7,1964.95
2023-01-20 11:20:00,1964.6,1966
2023-01-20 11:25:00,1965.65,1967.05
2023-01-20 11:30:00,1968.1,1967
2023-01-20 11:35:00,1966.3,1965.65
2023-01-20 11:40:00,1965.25,1965.2
2023-01-20 11:45:00,1965.9,1966.5
2023-01-20 11:50:00,1967.5,1968.25
2023-01-20 11:55:00,1968.15,1963.55
2023-01-20 12:00:00,1964,1963.8
2023-01-20 12:05:00,1963.95,1965
2023-01-20 12:10:00,1964.85,1965.85
2023-01-20 12:15:00,1965.9,1965
2023-01-20 12:20:00,1964,1968.95
2023-01-20 12:25:00,1968.25,1976
2023-01-20 12:30:00,1975.3,1976
2023-01-20 12:35:00,1976,1982
2023-01-20 12:40:00,1982,1984
2023-01-20 12:45:00,1983.25,1990.95
2023-01-20 12:50:00,1990.05,1993
2023-01-20 12:55:00,1992.05,1993.8
2023-01-20 13:00:00,1993.95,1990.5
2023-01-20 13:05:00,1990.5,1990
2023-01-20 13:10:00,1990,1992
2023-01-20 13:15:00,1992.8,1990.4
2023-01-20 13:20:00,1990.4,1991.3
2023-01-20 13:25:00,1991.25,1990.45
2023-01-20 13:30:00,1990.05,1991.85
2023-01-20 13:35:00,1991.3,1994.7
2023-01-20 13:40:00,1994.15,1991.35
2023-01-20 13:45:00,1990.5,1990
2023-01-20 13:50:00,1990.8,1990.95
2023-01-20 13:55:00,1990.2,1989
2023-01-20 14:00:00,1989,1985.2
2023-01-20 14:05:00,1985.75,1981.45
2023-01-20 14:10:00,1982,1981.1
2023-01-20 14:15:00,1982,1984.35
2023-01-20 14:20:00,1984.05,1983.25
2023-01-20 14:25:00,1983.8,1984
2023-01-20 14:30:00,1984.2,1981.8
2023-01-20 14:35:00,1981.8,1982.05
2023-01-20 14:40:00,1983,1983.9
2023-01-20 14:45:00,1983.5,1984
2023-01-20 14:50:00,1984.7,1987.05
2023-01-20 14:55:00,1986.95,1982.9
2023-01-20 15:00:00,1982.8,1984.05
2023-01-20 15:05:00,1983,1971
2023-01-20 15:10:00,1971,1979.4
2023-01-20 15:15:00,1979.8,1977.25
2023-01-20 15:20:00,1978,1979.1
2023-01-20 15:25:00,1979.35,1973.35
2023-01-20 15:30:00,1973.35,1972
2023-01-20 15:40:00,1975.6,1975.6
2023-01-20 15:45:00,1975.6,1975.6
2023-01-20 15:50:00,1975.6,1975.6
2023-01-20 15:55:00,1975.6,1975.6
2023-01-20 16:00:00,1975.6,1975.6
2023-01-23 09:10:00,1986.7,1986.7
2023-01-23 09:15:00,1980.35,2005
2023-01-23 09:20:00,2006.85,2000.5
2023-01-23 09:25:00,2000.6,1989.95
2023-01-23 09:30:00,1988.9,1986.85
2023-01-23 09:35:00,1986.8,1992.9
2023-01-23 09:40:00,1993.45,1988.55
2023-01-23 09:45:00,1988.45,1987.5
2023-01-23 09:50:00,1987.5,1987.5
