"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"2043","RAMCEM","EQ","THE RAMCO CEMENTS LIMITED",0.01,1,"","",0,1,"INE331A01037",1058.2,700,1132.7,14.15,"","","",0,0,0,907.6,742.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RAMCOCEM"
"20433","CHON32","ND","0% CHOLAMANDALAM INV DEC 25",0.01,1,"","",0,1000,"INE121A07RL4",0,0,0,0,"","","",0,0,0,1269.6,846.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CIFCZC25"
"20435","CHON33","NE","8.5% CHOLAMANDALAM INV DEC 26",0.01,1,"","",0,1000,"INE121A07RO8",0,0,0,0,"","","",0,0,0,1234.8,823.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","850CIFCL26"
"20437","CHON34","NF","0% CHOLAMANDALAM INV DEC 26",0.01,1,"","",0,1000,"INE121A07RK6",0,0,0,0,"","","",0,0,0,1194,796,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CIFCZC26"
"20443","CHON35","NG","8.6% CHOLAMANDALAM INV DEC 28",0.01,1,"","",0,1000,"INE121A07RM2",0,0,0,0,"","","",0,0,0,1263.6,842.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","860CIFCL28"
"20445","CHON36","NH","0% CHOLAMANDALAM INV DEC 28",0.01,1,"","",0,1000,"INE121A07RN0",0,0,0,0,"","","",0,0,0,1200,800,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CIFCZC28"
"20453","ANJPO","EQ","ANJANI PORTLAND CEMENT LTD",0.01,1,"","",0,10,"INE071F01012",231.95,154.3,499.88,78.47,"","","",0,0,0,239.29,159.52,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","APCL"
"20454","GRALIM","SM","GRAPHISADS LIMITED",0.01,1,"","",0,10,"INE0POU01017",0,0,112,37.6,"","","",0,0,0,53.7,48.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GRAPHISAD"
"2048","INDPAI","EQ","INDIGO PAINTS LIMITED",0.01,1,"","",0,10,"INE09VQ01012",1679.95,1250,3329.95,981.95,"","","",0,0,0,1799,1199.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDIGOPNTS"
"20481","WESIP","EQ","THE WESTERN INDIA PLYWOODS LTD",0.01,1,"","",0,10,"INE215F01023",194.9,100.2,194.9,35.05,"","","",0,0,0,175.03,143.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","WIPL"
"20486","THF24B","TB","182 Day T-Bill 13 Jun 24",0.01,1,"","",0,100,"IN002023Y383",0,0,0,0,"","","",0,0,0,104.79,94.81,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","182D130624"
"20488","ACCMIC","SM","ACCENT MICROCELL LIMITED",0.01,1,"","",0,10,"INE0Q5D01013",0,0,364,224,"","","",0,0,0,342.6,228.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ACCENTMIC"
"2049","CHEPET","EQ","CHENNAI PETROLEUM CORPORATION",0.01,1,"","",0,10,"INE178A01016",1275,347.9,1275,17.55,"","","",0,0,0,1234.55,823.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CHENNPETRO"
"20498","PREENG","SM","PRESSTONIC ENGINEERING LIMITED",0.01,1,"","",0,10,"INE0R1601012",0,0,210,90.15,"","","",0,0,0,134.55,89.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PRESSTONIC"
"20502","ASLIND","SM","ASL INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE617I01024",0,0,80,4.75,"","","",0,0,0,55.65,50.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ASLIND"
"20531","BAJPRO","EQ","BAJEL PROJECTS LIMITED",0.01,1,"","",0,2,"INE0KQN01018",330,108.25,330,108.25,"","","",0,0,0,314.2,257.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BAJEL"
"20532","AXIGOL","EQ","AXIS Gold ETF",0.01,1,"","",0,100,"INF846K01W80",64.9,47.51,64.9,19.36,"","","",0,0,0,70.42,46.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AXISGOLD"
"20534","GRAVIN","EQ","GRAVITA INDIA LIMITED",0.01,1,"","",0,2,"INE024L01027",1763.95,665.1,1763.95,15.1,"","","",0,0,0,2007.5,1338.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GRAVITA"
"20542","SJLOG","SM","S J LOGISTICS LIMITED",0.01,1,"","",0,10,"INE0F3301020",0,0,612.25,157.6,"","","",0,0,0,632.55,572.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SJLOGISTIC"
"20547","PARGOL","EQ","BARODA BNP PARIBAS GOLD ETF",0.01,1,"","",0,10,"INF251K01SU9",75.6,54,75.6,54,"","","",0,0,0,82.1,54.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BBNPPGOLD"
"20551","DOMIND","EQ","DOMS INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE321T01012",2539.45,1225.6,2539.45,1225.6,"","","",0,0,0,2755.4,1837,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DOMS"
